,,,,,,,,,,,,,,,,,,,,,,,m,,Mg C ha-1,Mg C ha-1,Mg C ha-1,Mg C ha-1 yr-1,yr
Marchand et al 2004,,Y,in,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C26,M0109,Kaw River,French Guiana,4.78338,-52.1321211,4.78338,-52.1321211,exact,5,,outer,,riverine/estuarine,,,,2002,1.00,N,,,,,
Marchand et al 2004,,Y,in,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C27,M0110,Kaw River,French Guiana,4.772274,-52.13125536,4.772274,-52.13125536,exact,5,,outer,,riverine,,,,2002,1.00,N,,,,,
Marchand et al 2004,,Y,in,"C. Marchand, cyril.marchand@univ-orleans.fr",CM04 C28,M0111,Kaw River,French Guiana,4.772211,-52.131111,4.772211,-52.131111,exact,5,,outer,,riverine,,,,2002,1.00,N,,,,,
Lallier-Verges et al 1998,,Y,in,"E. Lallier-Verges, elisa- beth.lallier-verges@univ-orleans.fr",EL98 Rhizophora,M0112,Guadeloupe,French West Indies,16.278088,-61.548429,16.278088,-61.548429,estimated from GE,150,,outer,,marine,Y,,,1996,1.74,Y,,,,,
Lallier-Verges et al 1998,,Y,out,"E. Lallier-Verges, elisa- beth.lallier-verges@univ-orleans.fr",EL98 Laguncularia,M0113,Guadeloupe,French West Indies,16.277168,-61.543488,16.27696635,-61.54367397,estimated from GE,150,,central,,marine,Y,,,1996,1.99,Y,,,,,
Lallier-Verges et al 1998,,Y,out,"E. Lallier-Verges, elisa- beth.lallier-verges@univ-orleans.fr",EL98 Acrostichum,M0114,Guadeloupe,French West Indies,16.27688,-61.541943,16.27688,-61.541943,estimated from GE,150,,central,,marine,Y,,,1996,1.79,Y,,,,,
Lallier-Verges et al 1998,,Y,out,"E. Lallier-Verges, elisa- beth.lallier-verges@univ-orleans.fr",EL98 Cladium,M0115,Guadeloupe,French West Indies,16.276196,-61.538235,16.276196,-61.538235,estimated from GE,150,,central,,marine,Y,,,1996,1.64,Y,,,,,
Lallier-Verges et al 1998,,Y,out,"E. Lallier-Verges, elisa- beth.lallier-verges@univ-orleans.fr",EL98 Pterocarpus,M0116,Guadeloupe,French West Indies,16.275196,-61.53275,16.275196,-61.53275,estimated from GE,150,,back,,marine,Y,,,1996,1.89,Y,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 1,M0117,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 2,M0118,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 3,M0119,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 4,M0120,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 5,M0121,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 6,M0122,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 7,M0123,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 8,M0124,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 9,M0125,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 10,M0126,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 11,M0127,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 12,M0128,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 13,M0129,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 14,M0130,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 15,M0131,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 16,M0132,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 17,M0133,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 18,M0134,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 19,M0135,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 20,M0136,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 21,M0137,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 22,M0138,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Coringa 23,M0139,Coringa Wildlife Sanctuary,India,16.825207,82.293886,16.825207,82.293886,approximate,10000,,unknown,,estuarine/riverine,,,,1996,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Excoecarcia 1,M0140,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Excoecarcia 2,M0141,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Excoecarcia 3,M0142,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Excoecarcia 4,M0143,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Excoecarcia 5,M0144,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Excoecarcia 6,M0145,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Excoecarcia 7,M0146,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Excoecarcia 8,M0147,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Rhizophora 1,M0148,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Rhizophora 2,M0149,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Rhizophora 3,M0150,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Rhizophora 4,M0151,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Rhizophora 5,M0152,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Rhizophora 6,M0153,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Rhizophora 7,M0154,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Galle Rhizophora 8,M0155,Galle,Sri Lanka,6.028306,80.250135,6.028306,80.250135,approximate,750,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Avicennia 1,M0156,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Avicennia 2,M0157,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Avicennia 3,M0158,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Avicennia 4,M0159,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Avicennia 5,M0160,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Avicennia 6,M0161,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Avicennia 7,M0162,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Avicennia 8,M0163,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Rhizophora 1,M0164,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Rhizophora 2,M0165,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Rhizophora 3,M0166,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Rhizophora 4,M0167,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Rhizophora 5,M0168,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Rhizophora 6,M0169,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Rhizophora 7,M0170,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Bouillon et al 2003,,Y,in,"S. Bouillon, steven.bouillon@vub.ac.be",SB03 Pambala Rhizophora 8,M0171,Chilaw Lagoon,Sri Lanka,7.515981,79.812103,7.515981,79.812103,approximate,1000,,unknown,,riverine,,,,1999,0.05,N,,,,,
Abino et al 2014,,Y,out,"Y. J. Lee, leeyj@kongju.ac.kr",ACA14 Average,M0172,Bahile,Philippines,10.043023,118.730673,10.04128675,118.7628524,approximate,11000,,unknown,,marine,,,,2012,0.30,N,,,,,
Adame et al 2013,,Y,out,"M. F. Adame, f.adame@griffith.edu.au",MFA13 Isla Pitaya,M0173,Quintana Roo,Mexico,19.4867,-87.7004,19.48659611,-87.70060663,exact,5,medium,outer,,riverine,"Y, 'associated with freshwater springs'",,,2011,1.58,Y,,,,,
Adame et al 2013,,Y,in,"M. F. Adame, f.adame@griffith.edu.au",MFA13 Cayo Culebra,M0174,Quintana Roo,Mexico,19.6957,-87.4659,19.6957,-87.4659,exact,5,medium,outer,,marine,"Y, 'associated with freshwater springs'",,,2011,2.00,Y,,,,,
Adame et al 2013,,Y,out,"M. F. Adame, f.adame@griffith.edu.au",MFA13 Hualaxtoc,M0175,Quintana Roo,Mexico,19.6477,-87.454,19.64752486,-87.45398622,exact,5,short,outer,,marine,,,,2011,1.87,Y,,,,,
Adame et al 2013,,Y,in,"M. F. Adame, f.adame@griffith.edu.au",MFA13 Laguna Negra,M0176,Quintana Roo,Mexico,19.78,-87.4789,19.78,-87.4789,exact,5,short,outer,,marine,,,,2011,1.00,Y,,,,,
Adame et al 2013,,Y,out,"M. F. Adame, f.adame@griffith.edu.au",MFA13 Laguna Xamach,M0177,Quintana Roo,Mexico,19.8612,-87.4612,19.8612,-87.4612,exact,5,dwarf,outer/central,,estuarine,Y,,,2011,1.43,Y,,,,,
Adame et al 2013,,Y,out,"M. F. Adame, f.adame@griffith.edu.au",MFA13 La Raya,M0178,Quintana Roo,Mexico,19.8408,-87.48,19.84293801,-87.47944898,exact,5,dwarf,outer,,estuarine,Y,,,2011,0.85,Y,,,,,
Adame et al 2013,,Y,out,"M. F. Adame, f.adame@griffith.edu.au",MFA13 El Playon,M0179,Quintana Roo,Mexico,19.8218,-87.495,19.82225357,-87.49553035,exact,5,dwarf,outer,,estuarine,Y,,,2011,1.06,Y,,,,,
Andreetta et al 2014,,Y,in,"A. Andreetta, anna.andreetta@unifi.it",AA14 AV1,M0180,Kwale County,Kenya,-4.419964,39.506982,-4.419964,39.506982,estimated from GE,20,,back,,estuarine,,Avicennia marina,,2009,0.80,N,,,,,
Andreetta et al 2014,,Y,out,"A. Andreetta, anna.andreetta@unifi.it",AA14 AV2,M0181,Kwale County,Kenya,-4.420125,39.508241,-4.419541285,39.50775886,estimated from GE,20,,back,,estuarine,,Avicennia marina,,2009,0.80,N,,,,,
Andreetta et al 2014,,Y,out,"A. Andreetta, anna.andreetta@unifi.it",AA14 AV3,M0182,Kwale County,Kenya,-4.415505,39.509624,-4.415350486,39.50959989,estimated from GE,20,,back,,estuarine,,Avicennia marina,,2009,0.80,N,,,,,
Andreetta et al 2014,,Y,out,"A. Andreetta, anna.andreetta@unifi.it",AA14 CER,M0183,Kwale County,Kenya,-4.415453,39.510308,-4.415576611,39.51031833,estimated from GE,20,,central,,estuarine,,Ceriops tagal,,2009,0.80,N,,,,,
Andreetta et al 2014,,Y,in,"A. Andreetta, anna.andreetta@unifi.it",AA14 RHI,M0184,Kwale County,Kenya,-4.415665,39.511097,-4.415665,39.511097,estimated from GE,20,,outer/central,,estuarine,,Rhizophora mucronata,,2009,0.80,N,,,,,
Banerjee et al 2012,Coordinates in paper don't make sense,Y,out,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 1,M0185,Indian Sundarbans,India,21.872546,88.168066,21.872546,88.168066,estimated from GE,500,,unknown,,estuarine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,out,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 2,M0186,Indian Sundarbans,India,21.798146,88.166492,21.798146,88.166492,estimated from GE,750,,unknown,,estuarine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,out,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 3,M0187,Indian Sundarbans,India,21.635327,88.086352,21.635327,88.086352,estimated from GE,750,,unknown,,marine/estuarine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,out,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 4,M0188,Indian Sundarbans,India,21.707425,88.195374,21.70750179,88.19603522,estimated from GE,750,,unknown,,estuarine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,out,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 5,M0189,Indian Sundarbans,India,21.605932,88.283639,21.605932,88.283639,estimated from GE,750,,unknown,,estuarine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,out,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 6,M0190,Indian Sundarbans,India,21.763191,88.35795,21.763191,88.35795,estimated from GE,500,,unknown,,riverine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,out,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 7,M0191,Indian Sundarbans,India,21.6923,88.413657,21.69763434,88.41939447,estimated from GE,750,,unknown,,estuarine/riverine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,in,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 8,M0192,Indian Sundarbans,India,21.940441,88.808983,21.940441,88.808983,estimated from GE,750,,unknown,,riverine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,in,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 9,M0193,Indian Sundarbans,India,22.091424,88.800184,22.091424,88.800184,estimated from GE,750,,unknown,,riverine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,in,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 10,M0194,Indian Sundarbans,India,22.023449,88.763959,22.023449,88.763959,estimated from GE,750,,unknown,,estuarine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,in,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 11,M0195,Indian Sundarbans,India,21.827697,88.848569,21.827697,88.848569,estimated from GE,750,,unknown,,riverine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,in,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 12,M0196,Indian Sundarbans,India,21.763583,88.822088,21.763583,88.822088,estimated from GE,750,,unknown,,riverine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,in,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 13,M0197,Indian Sundarbans,India,21.685091,88.957379,21.685091,88.957379,estimated from GE,750,,unknown,,estuarine,,,,2008,0.40,N,,,,,
Banerjee et al 2012,,Y,in,"K. Banerjee, banerjee.kakoli@yahoo.com",KB12 Stn. 14,M0198,Indian Sundarbans,India,21.908179,89.085136,21.908179,89.085136,estimated from GE,750,,unknown,,riverine,,,,2008,0.40,N,,,,,
Bianchi et al 2012,,Y,in,"T. S. Bianchi, tbianchi@tamu.edu",TSB12 HI Mangrove 1,M0199,Texas,USA,27.86395,-97.059822,27.86395,-97.059822,estimated from GE,15,,outer/central,,estuarine/riverine,,,,2011,0.61,Y,,,,,
Bianchi et al 2012,,Y,in,"T. S. Bianchi, tbianchi@tamu.edu",TSB12 HI Mangrove 2,M0200,Texas,USA,27.863775,-97.060177,27.863775,-97.060177,estimated from GE,15,,central,,estuarine/riverine,,,,2011,0.81,Y,,,,,
Bianchi et al 2012,,Y,out,"T. S. Bianchi, tbianchi@tamu.edu",TSB12 MI Mangrove 1,M0201,Texas,USA,27.942287,-97.027392,27.94225962,-97.02775361,estimated from GE,15,,central,,estuarine,,,,2011,0.91,Y,,,,2.7,48
Bianchi et al 2012,,Y,out,"T. S. Bianchi, tbianchi@tamu.edu",TSB12 MI Mangrove 2,M0202,Texas,USA,27.94253,-97.027563,27.94254825,-97.02805547,estimated from GE,15,,central,,estuarine,,,,2011,0.15,N,,,,2.53,48
Chen et al 2012,,Y,in,"G. Chen,  gc.chen@tio.org.cn ",GC12 LW,M0203,Mai Po Nature Reserve,Hong Kong,22.4928,114.032865,22.4928,114.032865,approximate,1500,,back,,estuarine,,Kandelia obvata,,2009,0.15,N,,,,,
Chen et al 2012,,Y,in,"G. Chen,  gc.chen@tio.org.cn ",GC12 MZ,M0204,Mai Po Nature Reserve,Hong Kong,22.493737,114.030087,22.493737,114.030087,approximate,1500,,central,,estuarine,,Kandelia obvata,,2009,0.15,N,,,,,
Chen et al 2012,,Y,in,"G. Chen,  gc.chen@tio.org.cn ",GC12 SW,M0205,Mai Po Nature Reserve,Hong Kong,22.494173,114.028767,22.494173,114.028767,approximate,1500,,outer,,estuarine,,Kandelia obvata,,2009,0.15,N,,,,,
Chen et al 2014,,Y,in,"G. Chen,  gc.chen@tio.org.cn ",GC14 Likupang LW,M0206,North Sulawesi,Indonesia,1.678742,125.046959,1.678742,125.046959,estimated from GE,500,,back,,marine,,,,2012,0.15,N,,,,,
Chen et al 2014,,Y,in,"G. Chen,  gc.chen@tio.org.cn ",GC14 Likupang MZ,M0207,North Sulawesi,Indonesia,1.681593,125.046741,1.681593,125.046741,estimated from GE,500,,central,,marine,,,,2012,0.15,N,,,,,
